code,disc_date,stock_ret,mkt_ret,short_pnl
91470,2025-03-11,-0.001855,0.003113,0.004968
96020,2025-03-11,0.028083,0.003113,-0.02497
45780,2025-03-13,-0.005243,-0.002256,0.002987
49110,2025-03-13,-0.032022,-0.002256,0.029766
51010,2025-03-13,-0.021867,-0.002256,0.019611
51100,2025-03-13,-0.000797,-0.002256,-0.001459
52010,2025-03-13,-0.010672,-0.002256,0.008416
64650,2025-03-13,0.002088,-0.002256,-0.004344
64810,2025-03-13,-0.025889,-0.002256,0.023633
65920,2025-03-13,-0.001459,-0.002256,-0.000797
74530,2025-03-13,-0.008905,-0.002256,0.006649
77300,2025-03-13,-0.009901,-0.002256,0.007645
77470,2025-03-13,-0.042297,-0.002256,0.04004
79360,2025-03-13,-0.026911,-0.002256,0.024655
79840,2025-03-13,-0.013923,-0.002256,0.011667
91470,2025-03-13,-0.008425,-0.002256,0.006169
96020,2025-03-13,0.002321,-0.002256,-0.004577
26300,2025-05-09,0.011675,0.008177,-0.003498
30380,2025-09-10,-0.010962,0.002461,0.013423
30860,2025-09-10,0.001419,0.002461,0.001041
40450,2025-09-10,-0.000322,0.002461,0.002783
43240,2025-09-10,0.011624,0.002461,-0.009164
49110,2025-09-10,-0.020833,0.002461,0.023294
52010,2025-09-10,-0.006233,0.002461,0.008694
64650,2025-09-10,-0.00741,0.002461,0.00987
65060,2025-09-10,0.011425,0.002461,-0.008964
65320,2025-09-10,-0.007463,0.002461,0.009923
72720,2025-09-10,-0.009778,0.002461,0.012238
77300,2025-09-10,-0.004648,0.002461,0.007108
30860,2025-09-12,0.002012,-0.001572,-0.003584
40450,2025-09-12,0.003831,-0.001572,-0.005404
46660,2025-09-12,0.002278,-0.001572,-0.00385
49120,2025-09-12,-0.006182,-0.001572,0.00461
51010,2025-09-12,-0.006315,-0.001572,0.004743
51050,2025-09-12,0.000742,-0.001572,-0.002314
51100,2025-09-12,-0.011842,-0.001572,0.01027
62680,2025-09-12,-0.024264,-0.001572,0.022692
64650,2025-09-12,0.005934,-0.001572,-0.007506
65320,2025-09-12,0.014786,-0.001572,-0.016358
65920,2025-09-12,-0.007797,-0.001572,0.006225
68560,2025-09-12,0.004503,-0.001572,-0.006075
72720,2025-09-12,0.007146,-0.001572,-0.008718
73090,2025-09-12,0.004403,-0.001572,-0.005975
74530,2025-09-12,-0.003077,-0.001572,0.001505
76490,2025-09-12,-0.002058,-0.001572,0.000485
77300,2025-09-12,-0.010853,-0.001572,0.009281
77470,2025-09-12,-0.018819,-0.001572,0.017247
79560,2025-09-12,-0.015343,-0.001572,0.013771
88040,2025-09-12,0.0,-0.001572,-0.001572
96020,2025-09-12,0.008981,-0.001572,-0.010554
31050,2025-09-16,0.002573,0.00237,-0.000203
40040,2025-09-16,-0.00993,0.00237,0.0123
69200,2025-09-16,-0.005049,0.00237,0.007419
77510,2025-09-16,-0.002712,0.00237,0.005082
89560,2025-09-16,0.004383,0.00237,-0.002013
89770,2025-09-16,0.002327,0.00237,4.3e-05
96020,2025-09-16,-0.005131,0.00237,0.007501
14140,2025-09-17,-0.002,-0.001567,0.000433
25790,2025-09-17,0.011257,-0.001567,-0.012824
30030,2025-09-17,0.005809,-0.001567,-0.007376
37650,2025-09-17,-0.005746,-0.001567,0.004179
40450,2025-09-17,-0.004487,-0.001567,0.00292
43240,2025-09-17,0.000623,-0.001567,-0.00219
46660,2025-09-17,-0.031477,-0.001567,0.02991
49120,2025-09-17,-0.005566,-0.001567,0.003999
51050,2025-09-17,-0.016606,-0.001567,0.015039
51100,2025-09-17,0.001079,-0.001567,-0.002646
52140,2025-09-17,0.003076,-0.001567,-0.004643
62680,2025-09-17,-0.019461,-0.001567,0.017894
63020,2025-09-17,-0.010942,-0.001567,0.009375
63830,2025-09-17,0.01883,-0.001567,-0.020397
64650,2025-09-17,-0.001035,-0.001567,-0.000532
64810,2025-09-17,0.007654,-0.001567,-0.009221
65320,2025-09-17,0.032513,-0.001567,-0.03408
65920,2025-09-17,0.0026,-0.001567,-0.004167
67280,2025-09-17,0.002932,-0.001567,-0.004499
67540,2025-09-17,-0.006867,-0.001567,0.0053
68560,2025-09-17,0.000409,-0.001567,-0.001976
69520,2025-09-17,0.003213,-0.001567,-0.00478
72720,2025-09-17,-0.002227,-0.001567,0.00066
73090,2025-09-17,-0.012573,-0.001567,0.011006
76490,2025-09-17,-0.005267,-0.001567,0.0037
77300,2025-09-17,0.001967,-0.001567,-0.003534
77310,2025-09-17,-0.000286,-0.001567,-0.001281
77470,2025-09-17,0.00283,-0.001567,-0.004397
